---,HeroID,DisplayName,Description,RoleLabel,Signature,UltimateLabel,PassiveLabel,PlaceholderColor
Hero_1,Hero_1,Arthur,A disciplined lane-holder who punishes straight corridors and elite pushes.,Lane Guard,Spear wall lane control,Spearstorm,Iron Will,"(R=0.44,G=0.50,B=0.62,A=1.0)"
Hero_2,Hero_2,Lu Bu,A brutal impact tower that deletes clustered mid-lane pressure.,Impact Siege,Crater-making burst,Meteor Strike,Rallying Blow,"(R=0.66,G=0.24,B=0.20,A=1.0)"
Hero_3,Hero_3,Mike,A short-range bruiser tower for choke points and panic clears.,Bruiser Burst,Short-range shock ring,Shockwave,Brawler's Fury,"(R=0.56,G=0.38,B=0.22,A=1.0)"
Hero_4,Hero_4,George,A precision tower for long corridors and priority elimination.,Sniper Pierce,Long-line execution,Precision Strike,Marksman Focus,"(R=0.28,G=0.48,B=0.40,A=1.0)"
Hero_5,Hero_5,Robo,A stable overclock tower that trades flair for relentless uptime.,Sustain Bounce,Industrial overclock fire,Discharge,Overclock,"(R=0.50,G=0.52,B=0.56,A=1.0)"
Hero_6,Hero_6,Billy,A rapid-fire tower for leak cleanup and tempo stabilization.,Rapid Pierce,Fan-fire lane cleanup,Fan The Hammer,Quick Draw,"(R=0.68,G=0.50,B=0.24,A=1.0)"
Hero_7,Hero_7,Rabbit,A trick-shot disruptor that turns side lanes into ricochet traps.,Trick Bounce,Split-lane ricochet,Miasma Bomb,Evasive,"(R=0.76,G=0.62,B=0.78,A=1.0)"
Hero_8,Hero_8,Shroud,A stealth execution tower that specializes in hidden threats and elites.,Camo Hunter,Silent long-range kill,Deadeye,Headshot,"(R=0.20,G=0.22,B=0.28,A=1.0)"
Hero_9,Hero_9,xQc,A volatility tower that floods the board with chaotic bounce pressure.,Chaos Bounce,Erratic burst chains,Juiced,Chaos Theory,"(R=0.78,G=0.22,B=0.38,A=1.0)"
Hero_10,Hero_10,Moist,A toxin stacker for long fights and boss-chip setups.,DOT Stacker,Toxin pressure ramp,Rabid Frenzy,Toxin Stacking,"(R=0.28,G=0.48,B=0.58,A=1.0)"
Hero_11,Hero_11,North,A frost attrition tower that slows routes and stretches kill windows.,Slow Control,Freeze-and-chip control,Blizzard,Frostbite,"(R=0.40,G=0.58,B=0.76,A=1.0)"
Hero_12,Hero_12,Asmon,A greed-focused siege tower that rewards efficient wave farming.,Economy Siege,Gold-weighted clear scaling,Gold Rush,Treasure Hunter,"(R=0.78,G=0.68,B=0.24,A=1.0)"
