---,MapID,DifficultyID,DisplayName,ThemeLabel,Description,BackgroundRelativePath,LaneCount,BuildPadCount,BossWave,EnemyNotes,FeaturedHeroIDs
Map_Easy_01,Map_Easy_01,Easy,Catacomb Spiral,Dungeon,A single long spiral that teaches basic lane commitment and coverage timing.,SourceAssets/TD/Maps/Backgrounds/TD_Easy_01_CatacombSpiral.png,1,14,15,Fast Roost leaks punish neglected corners.,Hero_1|Hero_4|Hero_5
Map_Easy_02,Map_Easy_02,Easy,Iron Reliquary,Dungeon,A reliquary hall with two soft bends and strong early sniper sightlines.,SourceAssets/TD/Maps/Backgrounds/TD_Easy_02_IronReliquary.png,1,13,15,Cows and Pigs create slow armor walls.,Hero_1|Hero_6|Hero_8
Map_Easy_03,Map_Easy_03,Easy,Bone Furnace,Dungeon,A furnace route with a compact final stretch built for brute denial.,SourceAssets/TD/Maps/Backgrounds/TD_Easy_03_BoneFurnace.png,1,12,15,Goat charges test short-range stopping power.,Hero_3|Hero_5|Hero_10
Map_Easy_04,Map_Easy_04,Easy,Crypt Switchback,Dungeon,A switchback route with premium crossfire pads and safe support positions.,SourceAssets/TD/Maps/Backgrounds/TD_Easy_04_CryptSwitchback.png,1,15,15,Mixed lanes reward bounce and pierce balance.,Hero_4|Hero_5|Hero_12
Map_Medium_01,Map_Medium_01,Medium,Thorn Crossing,Forest,Forest roots split the first half before converging into one kill box.,SourceAssets/TD/Maps/Backgrounds/TD_Medium_01_ThornCrossing.png,2,16,15,Early split pressure forces real coverage planning.,Hero_5|Hero_7|Hero_11
Map_Medium_02,Map_Medium_02,Medium,Hunters Hollow,Forest,A hunting path with brush pockets and blind bends around a central grove.,SourceAssets/TD/Maps/Backgrounds/TD_Medium_02_HuntersHollow.png,2,15,15,Roost packs punish weak side-lane vision.,Hero_4|Hero_8|Hero_11
Map_Medium_03,Map_Medium_03,Medium,Rootbound Ring,Forest,A looping forest ring that rewards center-pad AOE and outer-lane control.,SourceAssets/TD/Maps/Backgrounds/TD_Medium_03_RootboundRing.png,2,18,15,Sustained pressure favors DOT and splash towers.,Hero_11|Hero_2|Hero_10
Map_Medium_04,Map_Medium_04,Medium,Mossgate Run,Forest,A diagonal run through ruined gates with strong ambush lanes at the end.,SourceAssets/TD/Maps/Backgrounds/TD_Medium_04_MossgateRun.png,2,14,15,Goats can slip loose backline timing if the front folds.,Hero_1|Hero_6|Hero_3
Map_Hard_01,Map_Hard_01,Hard,Tidebreak Causeway,Ocean,A narrow causeway where split spawns crash into one exposed final lane.,SourceAssets/TD/Maps/Backgrounds/TD_Hard_01_TidebreakCauseway.png,2,14,15,Shielded bruisers need long-range damage and stalling.,Hero_1|Hero_4|Hero_11
Map_Hard_02,Map_Hard_02,Hard,Brine Labyrinth,Ocean,Water-carved turns create overlapping arcs and a dangerous central choke.,SourceAssets/TD/Maps/Backgrounds/TD_Hard_02_BrineLabyrinth.png,2,17,15,Bounce towers gain value on the inner ring.,Hero_9|Hero_5|Hero_7
Map_Hard_03,Map_Hard_03,Hard,Coral Battery,Ocean,A heavy defensive shell with multiple premium artillery pads over a final bend.,SourceAssets/TD/Maps/Backgrounds/TD_Hard_03_CoralBattery.png,2,16,15,Large Pig walls demand scalable AOE damage.,Hero_2|Hero_3|Hero_12
Map_Hard_04,Map_Hard_04,Hard,Abyss Relay,Ocean,"A relay route with distance spikes, forcing flexible target priorities.",SourceAssets/TD/Maps/Backgrounds/TD_Hard_04_AbyssRelay.png,3,18,15,Multi-lane leaks punish single-role tower spam.,Hero_4|Hero_8|Hero_9
Map_VeryHard_01,Map_VeryHard_01,VeryHard,Red Dust Corridor,Martian,A dry industrial route with exposed pads and little room for emergency recovery.,SourceAssets/TD/Maps/Backgrounds/TD_VeryHard_01_RedDustCorridor.png,2,15,15,Fast shield tech punishes slow ramp starts.,Hero_9|Hero_5|Hero_8
Map_VeryHard_02,Map_VeryHard_02,VeryHard,Orbital Spillway,Martian,Orbital runoff channels form triple pressure points around a hot center.,SourceAssets/TD/Maps/Backgrounds/TD_VeryHard_02_OrbitalSpillway.png,3,19,15,Split entries demand efficient support coverage.,Hero_10|Hero_9|Hero_11
Map_VeryHard_03,Map_VeryHard_03,VeryHard,Crater Grid,Martian,A crater grid with strong cross-map firing lanes and few safe late pads.,SourceAssets/TD/Maps/Backgrounds/TD_VeryHard_03_CraterGrid.png,3,18,15,Elite pressure ramps early and stays constant.,Hero_2|Hero_4|Hero_12
Map_VeryHard_04,Map_VeryHard_04,VeryHard,Satellite Grave,Martian,A debris field route with awkward turns and high-value sniper lanes.,SourceAssets/TD/Maps/Backgrounds/TD_VeryHard_04_SatelliteGrave.png,3,16,15,Roost sharpshooters punish weak anti-camo layers.,Hero_4|Hero_7|Hero_8
Map_Impossible_01,Map_Impossible_01,Impossible,Ashen Crown,Hell,A burning crown-shaped route with brutal final convergence near the core.,SourceAssets/TD/Maps/Backgrounds/TD_Impossible_01_AshenCrown.png,3,17,15,All enemy families arrive in stacked bursts.,Hero_1|Hero_2|Hero_11
Map_Impossible_02,Map_Impossible_02,Impossible,Skeleton Key,Hell,A lock-and-key route with delayed reveals and late pocket leaks near the core.,SourceAssets/TD/Maps/Backgrounds/TD_Impossible_02_SkeletonKey.png,3,18,15,Hidden pressure spikes after the second bend.,Hero_9|Hero_8|Hero_12
Map_Impossible_03,Map_Impossible_03,Impossible,Pyre Switch,Hell,A split hellscape that collapses into one final pyre lane under constant pressure.,SourceAssets/TD/Maps/Backgrounds/TD_Impossible_03_PyreSwitch.png,4,20,15,Multi-lane convergence demands real support coverage.,Hero_10|Hero_5|Hero_11
Map_Impossible_04,Map_Impossible_04,Impossible,Obsidian Verdict,Hell,A final gauntlet of obsidian walls and exposed kill platforms with almost no recovery space.,SourceAssets/TD/Maps/Backgrounds/TD_Impossible_04_ObsidianVerdict.png,4,19,15,Boss escorts and brute stacks hit the end lane together.,Hero_2|Hero_4|Hero_12
